Product_A,Product_A_Name,Product_B,Product_B_Name,Purchase_Count,Confidence,Lift
22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,428,0.7739602169981917,19.218576517161775
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,415,0.6005788712011577,7.368767784203364
22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED ,410,0.6634304207119741,15.039361017562154
22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,368,0.6654611211573237,23.67616685958141
23203,JUMBO BAG DOILEY PATTERNS,85099B,JUMBO BAG RED RETROSPOT,356,0.4168618266978923,5.114662114056857
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,352,0.3682008368200837,8.648013338786296
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE ,350,0.5271084337349398,12.863916603915664
20725,LUNCH BAG RED RETROSPOT,22383,LUNCH BAG SUKI  DESIGN ,346,0.3619246861924686,7.618465867439578
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,346,0.3619246861924686,7.597986120484095
22698,PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,342,0.7790432801822323,19.34479649152033
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,325,0.4350736278447122,13.018036385644752
21931,JUMBO STORAGE BAG SUKI,85099B,JUMBO BAG RED RETROSPOT,320,0.5470085470085471,6.7114897845455594
23202,JUMBO BAG VINTAGE LEAF,23203,JUMBO BAG DOILEY PATTERNS,320,0.5342237061769616,9.770538719880518
20725,LUNCH BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,316,0.3305439330543933,7.417766796518059
23203,JUMBO BAG DOILEY PATTERNS,23209,LUNCH BAG DOILEY PATTERN ,314,0.36768149882903983,7.750090863982151
20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,310,0.4166666666666667,9.786340852130326
20728,LUNCH BAG CARS BLUE,22383,LUNCH BAG SUKI  DESIGN ,307,0.4410919540229885,9.284926185828919
20728,LUNCH BAG CARS BLUE,22384,LUNCH BAG PINK POLKADOT,304,0.4367816091954023,10.258784893267652
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN ,304,0.3179916317991632,7.261273826127383
23300,GARDENERS KNEELING PAD CUP OF TEA ,23301,GARDENERS KNEELING PAD KEEP CALM ,303,0.7079439252336449,20.942000318606627
22469,HEART OF WICKER SMALL,22470,HEART OF WICKER LARGE,302,0.4064602960969044,10.407382565143525
20727,LUNCH BAG  BLACK SKULL.,22383,LUNCH BAG SUKI  DESIGN ,302,0.40591397849462363,8.54443454192389
20725,LUNCH BAG RED RETROSPOT,85099B,JUMBO BAG RED RETROSPOT,297,0.3106694560669456,3.8117409538960123
21733,RED HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,293,0.6314655172413793,6.3920025364828925
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099B,JUMBO BAG RED RETROSPOT,293,0.49493243243243246,6.072544903505234
23298,SPOTTY BUNTING,47566,PARTY BUNTING,286,0.3657289002557545,5.032880786867515
22727,ALARM CLOCK BAKELIKE RED ,22728,ALARM CLOCK BAKELIKE PINK,284,0.41219158200290273,14.149495207260083
20727,LUNCH BAG  BLACK SKULL.,20728,LUNCH BAG CARS BLUE,284,0.3817204301075269,8.566223272772216
22382,LUNCH BAG SPACEBOY DESIGN ,22383,LUNCH BAG SUKI  DESIGN ,281,0.4108187134502924,8.647678551725226
22629,SPACEBOY LUNCH BOX ,22630,DOLLY GIRL LUNCH BOX,270,0.5578512396694215,21.620542214383857
22383,LUNCH BAG SUKI  DESIGN ,22384,LUNCH BAG PINK POLKADOT,265,0.35714285714285715,8.38829215896885
23199,JUMBO BAG APPLES,85099B,JUMBO BAG RED RETROSPOT,259,0.47176684881602915,5.788316112849614
23202,JUMBO BAG VINTAGE LEAF,85099B,JUMBO BAG RED RETROSPOT,255,0.4257095158597663,5.223218325383888
20726,LUNCH BAG WOODLAND,22382,LUNCH BAG SPACEBOY DESIGN ,252,0.4329896907216495,9.887230964007959
20727,LUNCH BAG  BLACK SKULL.,22382,LUNCH BAG SPACEBOY DESIGN ,250,0.33602150537634407,7.672982298937307
20728,LUNCH BAG CARS BLUE,22382,LUNCH BAG SPACEBOY DESIGN ,248,0.3563218390804598,8.136536264031728
22726,ALARM CLOCK BAKELIKE GREEN,22728,ALARM CLOCK BAKELIKE PINK,247,0.39967637540453077,13.719879796578827
23206,LUNCH BAG APPLE DESIGN,23209,LUNCH BAG DOILEY PATTERN ,246,0.38198757763975155,8.051638293057058
22383,LUNCH BAG SUKI  DESIGN ,23206,LUNCH BAG APPLE DESIGN,246,0.33153638814016173,8.040787028511158
21928,JUMBO BAG SCANDINAVIAN PAISLEY,85099B,JUMBO BAG RED RETROSPOT,239,0.5772946859903382,7.083083818132829
20726,LUNCH BAG WOODLAND,20728,LUNCH BAG CARS BLUE,239,0.4106529209621993,9.21549996050085
22727,ALARM CLOCK BAKELIKE RED ,22730,ALARM CLOCK BAKELIKE IVORY,238,0.3454281567489115,15.028530307134396
21929,JUMBO BAG PINK VINTAGE PAISLEY,85099B,JUMBO BAG RED RETROSPOT,233,0.528344671201814,6.48249443794276
22138,BAKING SET 9 PIECE RETROSPOT ,22617,BAKING SET SPACEBOY DESIGN,233,0.36180124223602483,17.604279135465646
22382,LUNCH BAG SPACEBOY DESIGN ,22384,LUNCH BAG PINK POLKADOT,233,0.3406432748538012,8.000762872092512
20726,LUNCH BAG WOODLAND,22383,LUNCH BAG SUKI  DESIGN ,230,0.3951890034364261,8.31867526236326
23208,LUNCH BAG VINTAGE LEAF DESIGN,23209,LUNCH BAG DOILEY PATTERN ,229,0.5240274599542334,11.04559365320536
23201,JUMBO BAG ALPHABET,23203,JUMBO BAG DOILEY PATTERNS,229,0.38617200674536256,7.062787556622737
23199,JUMBO BAG APPLES,23203,JUMBO BAG DOILEY PATTERNS,227,0.4134790528233151,7.5622123255823865
20726,LUNCH BAG WOODLAND,20727,LUNCH BAG  BLACK SKULL.,223,0.38316151202749144,8.043816742415846
22112,CHOCOLATE HOT WATER BOTTLE,22835,HOT WATER BOTTLE I AM SO POORLY,221,0.4003623188405797,16.369788109871767
82482,WOODEN PICTURE FRAME WHITE FINISH,85123A,WHITE HANGING HEART T-LIGHT HOLDER,221,0.3328313253012048,3.369081315540841
22386,JUMBO BAG PINK POLKADOT,85099F,JUMBO BAG STRAWBERRY,220,0.3183791606367583,9.847057643535697
23206,LUNCH BAG APPLE DESIGN,23208,LUNCH BAG VINTAGE LEAF DESIGN,218,0.3385093167701863,12.098803246301006
22382,LUNCH BAG SPACEBOY DESIGN ,22662,LUNCH BAG DOLLY GIRL DESIGN,218,0.31871345029239767,12.96350359405458
22960,JAM MAKING SET WITH JARS,22961,JAM MAKING SET PRINTED,217,0.3214814814814815,7.61945259371663
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,216,0.6857142857142857,35.81997133301481
23199,JUMBO BAG APPLES,23201,JUMBO BAG ALPHABET,216,0.39344262295081966,10.362867331987948
23201,JUMBO BAG ALPHABET,85099B,JUMBO BAG RED RETROSPOT,216,0.3642495784148398,4.469139171454346
